"CurrentPath","OriginalFilename","ProposedNewName","NewPath","Category"
".\assets.squarespace.com\universal\fonts\social-20141119\social-icon-font.svg","social-icon-font.svg","ui_font_001.svg","./assets/images/ui_font_001.svg","UI/Fonts"
".\assets.squarespace.com\universal\fonts\squarespace-ui-font.svg","squarespace-ui-font.svg","ui_font_002.svg","./assets/images/ui_font_002.svg","UI/Fonts"
".\assets.squarespace.com\universal\images-v6\damask\edit-aviary-light.png","edit-aviary-light.png","ui_icon_003.png","./assets/images/ui_icon_003.png","UI/Fonts"
".\assets.squarespace.com\universal\images-v6\damask\edit-aviary-light@2x.png","edit-aviary-light@2x.png","ui_icon_004.png","./assets/images/ui_icon_004.png","UI/Fonts"
".\assets.squarespace.com\universal\images-v6\damask\edit-info-light.png","edit-info-light.png","ui_icon_005.png","./assets/images/ui_icon_005.png","UI/Fonts"
".\assets.squarespace.com\universal\images-v6\damask\edit-info-light@2x.png","edit-info-light@2x.png","ui_icon_006.png","./assets/images/ui_icon_006.png","UI/Fonts"
".\assets.squarespace.com\universal\images-v6\damask\error-dark.png","error-dark.png","ui_icon_007.png","./assets/images/ui_icon_007.png","UI/Fonts"
".\assets.squarespace.com\universal\images-v6\damask\error-dark@2x.png","error-dark@2x.png","ui_icon_008.png","./assets/images/ui_icon_008.png","UI/Fonts"
".\assets.squarespace.com\universal\images-v6\damask\getty-16-light.png","getty-16-light.png","ui_icon_009.png","./assets/images/ui_icon_009.png","UI/Fonts"
".\assets.squarespace.com\universal\images-v6\damask\getty-32-light.png","getty-32-light.png","ui_icon_010.png","./assets/images/ui_icon_010.png","UI/Fonts"
".\assets.squarespace.com\universal\images-v6\damask\play-button.png","play-button.png","ui_icon_011.png","./assets/images/ui_icon_011.png","UI/Fonts"
".\assets.squarespace.com\universal\images-v6\damask\play-button@2x.png","play-button@2x.png","ui_icon_012.png","./assets/images/ui_icon_012.png","UI/Fonts"
".\assets.squarespace.com\universal\images-v6\damask\shopping-cart-16-light.png","shopping-cart-16-light.png","ui_icon_013.png","./assets/images/ui_icon_013.png","UI/Fonts"
".\assets.squarespace.com\universal\images-v6\damask\shopping-cart-32-light.png","shopping-cart-32-light.png","ui_icon_014.png","./assets/images/ui_icon_014.png","UI/Fonts"
".\assets.squarespace.com\universal\images-v6\damask\trash-9-light.png","trash-9-light.png","ui_icon_015.png","./assets/images/ui_icon_015.png","UI/Fonts"
".\assets.squarespace.com\universal\images-v6\damask\trash-9-light@2x.png","trash-9-light@2x.png","ui_icon_016.png","./assets/images/ui_icon_016.png","UI/Fonts"
".\assets.squarespace.com\universal\images-v6\damask\trash-9-red.png","trash-9-red.png","ui_icon_017.png","./assets/images/ui_icon_017.png","UI/Fonts"
".\assets.squarespace.com\universal\images-v6\damask\trash-9-red@2x.png","trash-9-red@2x.png","ui_icon_018.png","./assets/images/ui_icon_018.png","UI/Fonts"
".\assets.squarespace.com\universal\images-v6\icons\block-indicator-dark.png","block-indicator-dark.png","ui_icon_019.png","./assets/images/ui_icon_019.png","UI/Fonts"
".\assets.squarespace.com\universal\images-v6\icons\block-indicator-dark@2x.png","block-indicator-dark@2x.png","ui_icon_020.png","./assets/images/ui_icon_020.png","UI/Fonts"
".\assets.squarespace.com\universal\images-v6\icons\icon-searchqueries-20-dark.png","icon-searchqueries-20-dark.png","ui_icon_021.png","./assets/images/ui_icon_021.png","UI/Fonts"
".\assets.squarespace.com\universal\images-v6\icons\icon-searchqueries-20-light.png","icon-searchqueries-20-light.png","ui_icon_022.png","./assets/images/ui_icon_022.png","UI/Fonts"
".\assets.squarespace.com\universal\images-v6\icons\icon-settings-16-light.png","icon-settings-16-light.png","ui_icon_023.png","./assets/images/ui_icon_023.png","UI/Fonts"
".\assets.squarespace.com\universal\images-v6\icons\icon-video-24-light-solid.png","icon-video-24-light-solid.png","ui_icon_024.png","./assets/images/ui_icon_024.png","UI/Fonts"
".\assets.squarespace.com\universal\images-v6\icons\opentable-icons.png","opentable-icons.png","ui_icon_025.png","./assets/images/ui_icon_025.png","UI/Fonts"
".\assets.squarespace.com\universal\images-v6\icons\opentable-icons.svg","opentable-icons.svg","ui_icon_026.svg","./assets/images/ui_icon_026.svg","UI/Fonts"
".\assets.squarespace.com\universal\images-v6\standard\icon_close_7_light.png","icon_close_7_light.png","ui_icon_027.png","./assets/images/ui_icon_027.png","UI/Fonts"
".\images.squarespace-cdn.com\content\65d6025916539a7143e98121\8885ec57-e0be-44d2-8c01-441a91e283ee\THE+TERRACE+LOGO+BLACK﹖content-type=imageꤷpng.png","THE+TERRACE+LOGO+BLACK﹖content-type=imageꤷpng.png","content_001.png","./assets/images/content_001.png","Content"
".\images.squarespace-cdn.com\content\v1\65d6025916539a7143e98121\03a00e7b-161b-43ad-a1d2-46b4b3840f69\polyhandsup.jpg","polyhandsup.jpg","content_002.jpg","./assets/images/content_002.jpg","Content"
".\images.squarespace-cdn.com\content\v1\65d6025916539a7143e98121\03a00e7b-161b-43ad-a1d2-46b4b3840f69\polyhandsup﹖format=1000w.jpg","polyhandsup﹖format=1000w.jpg","content_003.jpg","./assets/images/content_003.jpg","Content"
".\images.squarespace-cdn.com\content\v1\65d6025916539a7143e98121\03a00e7b-161b-43ad-a1d2-46b4b3840f69\polyhandsup﹖format=100w.jpg","polyhandsup﹖format=100w.jpg","content_004.jpg","./assets/images/content_004.jpg","Content"
".\images.squarespace-cdn.com\content\v1\65d6025916539a7143e98121\03a00e7b-161b-43ad-a1d2-46b4b3840f69\polyhandsup﹖format=1500w.jpg","polyhandsup﹖format=1500w.jpg","content_005.jpg","./assets/images/content_005.jpg","Content"
".\images.squarespace-cdn.com\content\v1\65d6025916539a7143e98121\03a00e7b-161b-43ad-a1d2-46b4b3840f69\polyhandsup﹖format=2500w.jpg","polyhandsup﹖format=2500w.jpg","content_006.jpg","./assets/images/content_006.jpg","Content"
".\images.squarespace-cdn.com\content\v1\65d6025916539a7143e98121\03a00e7b-161b-43ad-a1d2-46b4b3840f69\polyhandsup﹖format=300w.jpg","polyhandsup﹖format=300w.jpg","content_007.jpg","./assets/images/content_007.jpg","Content"
".\images.squarespace-cdn.com\content\v1\65d6025916539a7143e98121\03a00e7b-161b-43ad-a1d2-46b4b3840f69\polyhandsup﹖format=500w.jpg","polyhandsup﹖format=500w.jpg","content_008.jpg","./assets/images/content_008.jpg","Content"
".\images.squarespace-cdn.com\content\v1\65d6025916539a7143e98121\03a00e7b-161b-43ad-a1d2-46b4b3840f69\polyhandsup﹖format=750w.jpg","polyhandsup﹖format=750w.jpg","content_009.jpg","./assets/images/content_009.jpg","Content"
".\images.squarespace-cdn.com\content\v1\65d6025916539a7143e98121\0580e75a-2f29-4678-889d-85b6c7b50eae\dancingparty.jpg","dancingparty.jpg","content_010.jpg","./assets/images/content_010.jpg","Content"
